Date,Company,Industry,Close,Volume
01-01-2014 00:00,SUNPHARMA,Healthcare,572.3499755859375,425464
02-01-2014 00:00,SUNPHARMA,Healthcare,573.8499755859375,1311399
03-01-2014 00:00,SUNPHARMA,Healthcare,579.7000122070312,1443488
06-01-2014 00:00,SUNPHARMA,Healthcare,588.25,1832494
07-01-2014 00:00,SUNPHARMA,Healthcare,594.2000122070312,2986634
08-01-2014 00:00,SUNPHARMA,Healthcare,600.9000244140625,2427891
09-01-2014 00:00,SUNPHARMA,Healthcare,607.0,1867544
10-01-2014 00:00,SUNPHARMA,Healthcare,609.4000244140625,2548423
13-01-2014 00:00,SUNPHARMA,Healthcare,602.3499755859375,1570396
14-01-2014 00:00,SUNPHARMA,Healthcare,603.5499877929688,2626299
15-01-2014 00:00,SUNPHARMA,Healthcare,603.5,1582614
16-01-2014 00:00,SUNPHARMA,Healthcare,592.75,905324
17-01-2014 00:00,SUNPHARMA,Healthcare,594.0,1276748
20-01-2014 00:00,SUNPHARMA,Healthcare,589.4000244140625,1022330
21-01-2014 00:00,SUNPHARMA,Healthcare,580.3499755859375,1435394
22-01-2014 00:00,SUNPHARMA,Healthcare,597.4500122070312,3419248
23-01-2014 00:00,SUNPHARMA,Healthcare,609.3499755859375,2954935
24-01-2014 00:00,SUNPHARMA,Healthcare,603.5999755859375,1467628
27-01-2014 00:00,SUNPHARMA,Healthcare,597.7999877929688,2991060
28-01-2014 00:00,SUNPHARMA,Healthcare,581.9000244140625,1935622
29-01-2014 00:00,SUNPHARMA,Healthcare,591.4500122070312,2412064
30-01-2014 00:00,SUNPHARMA,Healthcare,593.5999755859375,1443395
31-01-2014 00:00,SUNPHARMA,Healthcare,588.7000122070312,1585472
03-02-2014 00:00,SUNPHARMA,Healthcare,594.2999877929688,1640565
04-02-2014 00:00,SUNPHARMA,Healthcare,587.75,1873420
05-02-2014 00:00,SUNPHARMA,Healthcare,583.5999755859375,2300454
06-02-2014 00:00,SUNPHARMA,Healthcare,584.9000244140625,1773116
07-02-2014 00:00,SUNPHARMA,Healthcare,601.6500244140625,3201995
10-02-2014 00:00,SUNPHARMA,Healthcare,611.6500244140625,1472255
11-02-2014 00:00,SUNPHARMA,Healthcare,608.2999877929688,2483629
12-02-2014 00:00,SUNPHARMA,Healthcare,611.0499877929688,1815098
13-02-2014 00:00,SUNPHARMA,Healthcare,615.2999877929688,3135266
14-02-2014 00:00,SUNPHARMA,Healthcare,609.0499877929688,3027378
17-02-2014 00:00,SUNPHARMA,Healthcare,605.0999755859375,998680
18-02-2014 00:00,SUNPHARMA,Healthcare,609.75,873040
19-02-2014 00:00,SUNPHARMA,Healthcare,623.2999877929688,2157227
20-02-2014 00:00,SUNPHARMA,Healthcare,619.6500244140625,1270381
