Date,Company,Industry,Close,Volume
01-01-2014 00:00,HINDUNILVR,FMCG,572.3499755859375,251204
02-01-2014 00:00,HINDUNILVR,FMCG,562.4000244140625,531660
03-01-2014 00:00,HINDUNILVR,FMCG,565.0,1018173
06-01-2014 00:00,HINDUNILVR,FMCG,563.5,603727
07-01-2014 00:00,HINDUNILVR,FMCG,558.9500122070312,605461
08-01-2014 00:00,HINDUNILVR,FMCG,559.1500244140625,564149
09-01-2014 00:00,HINDUNILVR,FMCG,554.1500244140625,854783
10-01-2014 00:00,HINDUNILVR,FMCG,549.7999877929688,985783
13-01-2014 00:00,HINDUNILVR,FMCG,545.7000122070312,1488598
14-01-2014 00:00,HINDUNILVR,FMCG,538.4000244140625,925057
15-01-2014 00:00,HINDUNILVR,FMCG,545.2000122070312,2060042
16-01-2014 00:00,HINDUNILVR,FMCG,552.0999755859375,1221864
17-01-2014 00:00,HINDUNILVR,FMCG,558.9000244140625,1475015
20-01-2014 00:00,HINDUNILVR,FMCG,555.0999755859375,1549558
21-01-2014 00:00,HINDUNILVR,FMCG,559.7999877929688,1927455
22-01-2014 00:00,HINDUNILVR,FMCG,566.4500122070312,1892894
23-01-2014 00:00,HINDUNILVR,FMCG,567.0999755859375,856175
24-01-2014 00:00,HINDUNILVR,FMCG,565.7999877929688,2366263
27-01-2014 00:00,HINDUNILVR,FMCG,575.25,3220246
28-01-2014 00:00,HINDUNILVR,FMCG,569.7000122070312,4204432
29-01-2014 00:00,HINDUNILVR,FMCG,569.5999755859375,1073771
30-01-2014 00:00,HINDUNILVR,FMCG,570.4000244140625,1287033
31-01-2014 00:00,HINDUNILVR,FMCG,570.0999755859375,1059275
03-02-2014 00:00,HINDUNILVR,FMCG,569.75,747170
04-02-2014 00:00,HINDUNILVR,FMCG,570.25,1891501
05-02-2014 00:00,HINDUNILVR,FMCG,570.0,2423902
06-02-2014 00:00,HINDUNILVR,FMCG,586.5499877929688,1720369
07-02-2014 00:00,HINDUNILVR,FMCG,577.6500244140625,927008
10-02-2014 00:00,HINDUNILVR,FMCG,564.0,1255220
11-02-2014 00:00,HINDUNILVR,FMCG,562.4500122070312,1580976
12-02-2014 00:00,HINDUNILVR,FMCG,569.4500122070312,1646508
13-02-2014 00:00,HINDUNILVR,FMCG,557.25,486480
14-02-2014 00:00,HINDUNILVR,FMCG,560.25,749383
17-02-2014 00:00,HINDUNILVR,FMCG,560.25,380480
18-02-2014 00:00,HINDUNILVR,FMCG,562.25,237065
19-02-2014 00:00,HINDUNILVR,FMCG,558.7000122070312,456096
20-02-2014 00:00,HINDUNILVR,FMCG,554.0499877929688,651988
21-02-2014 00:00,HINDUNILVR,FMCG,555.3499755859375,669715
24-02-2014 00:00,HINDUNILVR,FMCG,554.9000244140625,540669
25-02-2014 00:00,HINDUNILVR,FMCG,554.4500122070312,541460
26-02-2014 00:00,HINDUNILVR,FMCG,554.75,1012749
28-02-2014 00:00,HINDUNILVR,FMCG,549.25,1797780
03-03-2014 00:00,HINDUNILVR,FMCG,543.2000122070312,608894
04-03-2014 00:00,HINDUNILVR,FMCG,554.9000244140625,734703
05-03-2014 00:00,HINDUNILVR,FMCG,551.2000122070312,621406
06-03-2014 00:00,HINDUNILVR,FMCG,549.0499877929688,1020063
07-03-2014 00:00,HINDUNILVR,FMCG,550.4000244140625,1001114
10-03-2014 00:00,HINDUNILVR,FMCG,557.2000122070312,1663986
11-03-2014 00:00,HINDUNILVR,FMCG,560.3499755859375,1920661
12-03-2014 00:00,HINDUNILVR,FMCG,560.25,971639
13-03-2014 00:00,HINDUNILVR,FMCG,561.8499755859375,1055369
14-03-2014 00:00,HINDUNILVR,FMCG,553.6500244140625,1243425
18-03-2014 00:00,HINDUNILVR,FMCG,556.0499877929688,1464949
19-03-2014 00:00,HINDUNILVR,FMCG,561.5999755859375,1164209
20-03-2014 00:00,HINDUNILVR,FMCG,572.5499877929688,1434348
21-03-2014 00:00,HINDUNILVR,FMCG,571.7000122070312,2669144
24-03-2014 00:00,HINDUNILVR,FMCG,582.3499755859375,944114
25-03-2014 00:00,HINDUNILVR,FMCG,592.75,1319832
26-03-2014 00:00,HINDUNILVR,FMCG,591.5499877929688,1208051
27-03-2014 00:00,HINDUNILVR,FMCG,599.7999877929688,2475382
28-03-2014 00:00,HINDUNILVR,FMCG,599.7999877929688,949077
31-03-2014 00:00,HINDUNILVR,FMCG,605.5499877929688,1090563
01-04-2014 00:00,HINDUNILVR,FMCG,601.75,716986
02-04-2014 00:00,HINDUNILVR,FMCG,594.5999755859375,2765610
03-04-2014 00:00,HINDUNILVR,FMCG,606.2999877929688,736770
04-04-2014 00:00,HINDUNILVR,FMCG,605.2999877929688,877772
07-04-2014 00:00,HINDUNILVR,FMCG,604.7999877929688,1601644
09-04-2014 00:00,HINDUNILVR,FMCG,609.0999755859375,774135
10-04-2014 00:00,HINDUNILVR,FMCG,617.9000244140625,1164071
11-04-2014 00:00,HINDUNILVR,FMCG,609.4000244140625,713696
15-04-2014 00:00,HINDUNILVR,FMCG,612.1500244140625,938013
16-04-2014 00:00,HINDUNILVR,FMCG,607.5499877929688,1340297
17-04-2014 00:00,HINDUNILVR,FMCG,609.4500122070312,1052882
21-04-2014 00:00,HINDUNILVR,FMCG,599.0999755859375,1190995
22-04-2014 00:00,HINDUNILVR,FMCG,596.4500122070312,871928
23-04-2014 00:00,HINDUNILVR,FMCG,595.5,1408755
24-04-2014 00:00,HINDUNILVR,FMCG,595.5,0
25-04-2014 00:00,HINDUNILVR,FMCG,580.9000244140625,973004
28-04-2014 00:00,HINDUNILVR,FMCG,581.0,2948014
29-04-2014 00:00,HINDUNILVR,FMCG,562.4500122070312,1464745
30-04-2014 00:00,HINDUNILVR,FMCG,567.5,1680382
02-05-2014 00:00,HINDUNILVR,FMCG,562.1500244140625,665237
05-05-2014 00:00,HINDUNILVR,FMCG,557.1500244140625,683052
06-05-2014 00:00,HINDUNILVR,FMCG,553.7000122070312,550299
07-05-2014 00:00,HINDUNILVR,FMCG,553.1500244140625,1299628
08-05-2014 00:00,HINDUNILVR,FMCG,552.2999877929688,885656
09-05-2014 00:00,HINDUNILVR,FMCG,556.2999877929688,1133925
12-05-2014 00:00,HINDUNILVR,FMCG,571.5,852578
13-05-2014 00:00,HINDUNILVR,FMCG,577.5999755859375,1328341
14-05-2014 00:00,HINDUNILVR,FMCG,577.5,660415
15-05-2014 00:00,HINDUNILVR,FMCG,588.9500122070312,1239775
16-05-2014 00:00,HINDUNILVR,FMCG,580.7000122070312,2603086
19-05-2014 00:00,HINDUNILVR,FMCG,555.7999877929688,2026178
20-05-2014 00:00,HINDUNILVR,FMCG,562.5999755859375,1281049
21-05-2014 00:00,HINDUNILVR,FMCG,561.3499755859375,923443
